Name      RA rm rs    Dec dm ds yr    mag  sp      pc     pmRA  pmDec
HIP2      00 00 01.0  -19 29 55 2000  9.27 K3V     45.6   0.18  0.00
HIP169    00 02 08.7  -68 16 50 2000  9.24 M0V     15.8   0.21 -0.23
HIP171    00 02 10.2   27 04 56 2000  5.80 G3V     12.4   0.78 -0.92
HIP194    00 02 29.7   08 29 07 2000  5.70 F0V     37.6  -0.09 -0.05
HIP400    00 04 56.3   23 16 10 2000  7.82 G9V     25.6   0.38 -0.01
HIP428    00 05 10.9   45 47 11 2000  9.95 M2      11.4   0.87 -0.15
HIP436    00 05 17.7  -67 49 57 2000  8.49 K5V     16.0  -0.12 -0.56
HIP443    00 05 20.1  -05 42 27 2000  4.61 K1III   39.4  -0.01  0.09
GJ1       00 05 24.4  -37 21 26 2000  8.54 M1.5V    4.34  5.64 -2.33
HIP518    00 06 15.8   58 26 12 2000  5.98 G5V     20.2   0.25  0.02
HIP522    00 06 19.2  -49 04 30 2000  5.70 G1IV... 25.6   0.58 -0.04
HIP544    00 06 36.8   29 01 17 2000  6.07 K0V     13.7   0.38 -0.18
GJ1002    00 06 43.8  -07 32 22 2000 13.7  M5.0V    4.69 -0.82 -1.87
HIP560    00 06 50.1  -23 06 27 2000  6.19 F2IV    39.0   0.10 -0.05
HIP677    00 08 23.3   29 05 25 2000  2.07 B9p     29.7   0.14 -0.16
HIP910    00 11 15.9  -15 28 04 2000  4.89 F5V     18.8  -0.08 -0.27
HIP916    00 11 21.1   58 20 59 2000  9.50 K7      28.0   0.23  0.02
HIP950    00 11 44.0  -35 07 59 2000  5.24 F3/F5V  21.8   0.17  0.11
HIP974    00 12 04.0   27 05 56 2000  8.73 K0      25.7   0.28 -0.08
HIP1031   00 12 50.3  -57 54 45 2000  7.22 K0V     20.3  -0.12  0.04
HIP1086   00 13 30.8   41 02 07 2000  5.71 F0IV    35.0  -0.12 -0.15
HIP1242   00 15 28.1  -16 08 01 2000 11.4  M:       5.21  0.73 -0.62
HIP1292   00 16 12.7  -79 51 04 2000  6.59 G6V     17.6   0.43 -0.06
HIP1349   00 16 53.9  -52 39 04 2000  6.84 G2V     23.0   0.31  0.18
HIP1368   00 17 06.4   40 56 53 2000  8.99 M0      14.9   0.57  0.08
HIP1444   00 17 58.9  -13 27 20 2000  6.51 G2V     26.1   0.40  0.00
HIP1463   00 18 16.6   10 12 10 2000 10.8  M0      16.2   0.00 -0.03
HIP1473   00 18 19.7   36 47 06 2000  4.51 A2V     43.2  -0.07 -0.04
GJ15A     00 18 22.9   44 01 23 2000  8.08 M1.5V    3.57  2.89  0.41
GJ15B     00 18 25.5   44 01 37 2000 11.0  M3.5V    3.57  2.89  0.41
HIP1499   00 18 41.9  -08 03 10 2000  6.47 G0V     23.4   0.42 -0.14
HIP1532   00 19 05.6  -09 57 53 2000  9.90 K7V     20.7  -0.04 -0.30
HIP1599   00 20 04.3  -64 52 29 2000  4.23 F9V      8.59  1.71  1.17
HIP1692   00 21 13.3  -08 16 52 2000  9.19 K2      23.0   0.00  0.00
HIP1768   00 22 23.6  -27 01 57 2000  8.30 K1V     22.4   0.21 -0.40
HIP1803   00 22 51.8  -12 12 33 2000  6.39 G3V     20.3   0.39  0.06
HIP1837   00 23 16.0  -33 10 03 2000  8.74 K3/K4V  22.2  -0.03  0.13
HIP1936   00 24 25.9  -27 01 36 2000  7.92 K2V     18.0   0.67  0.08
HIP2072   00 26 12.2  -43 40 47 2000  3.93 A7V     23.5   0.11  0.03
HIP2081   00 26 17.1  -42 18 21 2000  2.40 K0III.. 23.7   0.23 -0.35
HIP2120   00 26 52.7   70 08 32 2000 10.5  M0      16.2  -0.14 -0.15
HIP2422   00 30 55.1   77 01 09 2000  6.18 K0IV    39.4   0.34 -0.03
HIP2552   00 32 29.4   67 14 08 2000 10.2  M2.5Ve  10.1   1.74 -0.22
HIP2578   00 32 43.9  -63 01 53 2000  5.07 A0V     46.4   0.09 -0.05
HIP2711   00 34 27.8  -52 22 23 2000  5.57 F3IV-V  25.6   0.23  0.04
HIP2762   00 35 14.9  -03 35 34 2000  5.20 F8V...  21.0   0.41 -0.04
HIP2852   00 36 06.9  -22 50 32 2000  6.06 A5m...  49.7  -0.07 -0.05
HIP2941   00 37 20.7  -24 46 02 2000  5.57 K1V+... 15.5   1.42 -0.02
HIP3092   00 39 19.7   30 51 39 2000  3.27 K3III.. 31.0   0.12 -0.08
HIP3093   00 39 21.8   21 15 01 2000  5.88 K0V     11.1  -0.46 -0.37
HIP3170   00 40 25.7  -59 27 16 2000  5.89 G1V     25.4   0.88  0.44
HIP3206   00 40 49.3   40 11 13 2000  7.36 K2V     17.2   0.36 -0.67
HIP3418   00 43 32.9   33 50 40 2000  8.73 K8      20.7  -0.20 -0.36
HIP3419   00 43 35.4  -17 59 11 2000  2.04 K0III   29.3   0.23  0.03
HIP3497   00 44 39.3  -65 38 58 2000  6.55 G3V     21.8   0.16 -0.74
HIP3505   00 44 44.4  -22 00 22 2000  5.22 F0V     27.8  -0.07  0.08
HIP3535   00 45 04.9   01 47 07 2000  8.03 K2V     22.0  -0.05 -0.57
HIP3583   00 45 45.6  -47 33 07 2000  5.80 G5IV    14.9   0.18  0.08
HIP3588   00 45 48.3  -41 54 33 2000  7.89 K5Vcom  16.0   0.30 -0.08
HIP3765   00 48 23.0   05 16 50 2000  5.74 K2V      7.46  0.76 -1.14
HIP3821   00 49 06.3   57 48 54 2000  3.46 G0VSB    5.95  1.09 -0.56
HIP3850   00 49 26.8  -23 12 44 2000  7.15 G8/K0V  18.8   0.52  0.12
HIP3876   00 49 46.5   70 26 58 2000  7.75 K0      21.5   0.37  0.20
HIP3909   00 50 07.6   10 38 39 2000  5.17 F7IV-V  15.4  -0.22 -0.23
HIP3979   00 51 10.8  -05 02 21 2000  6.98 G0      22.0   0.26 -0.12
HIP3998   00 51 21.8   18 44 21 2000  9.22 K2      21.8   0.05 -0.27
