Name,Distance,Distance_err,RA,Dec,SpectralType,Mass,Notes,OtherNames,Constellation,Source
HIP2,148.73,0.0,0.0003,-19.499,K3V,,,,,Isaacson et al.
HIP169,51.53,0.0,0.0357,-68.281,M0V,,,,,Isaacson et al.
HIP171,40.44,0.0,0.0362,27.082,G3V,,,,,Isaacson et al.
HIP194,122.63,0.0,0.0416,8.485,F0V,,,,,Isaacson et al.
HIP400,83.50,0.0,0.0823,23.269,G9V,,,,,Isaacson et al.
HIP428,37.18,0.0,0.0864,45.786,M2,,,,,Isaacson et al.
HIP436,52.18,0.0,0.0882,-67.832,K5V,,,,,Isaacson et al.
HIP443,128.51,0.0,0.0889,-5.708,K1III,,,,,Isaacson et al.
GJ1,14.16,0.0,0.0901,-37.357,M1.5V,,,,,Isaacson et al.
HIP518,65.88,0.0,0.1044,58.437,G5V,,,,,Isaacson et al.
HIP522,83.50,0.0,0.1053,-49.075,G1IV...,,,,,Isaacson et al.
HIP544,44.68,0.0,0.1102,29.021,K0V,,,,,Isaacson et al.
GJ1002,15.30,0.0,0.1122,-7.539,M5.0V,,,,,Isaacson et al.
HIP560,127.20,0.0,0.1139,-23.108,F2IV,,,,,Isaacson et al.
HIP677,96.87,0.0,0.1398,29.090,B9p,,,,,Isaacson et al.
HIP910,61.32,0.0,0.1878,-15.468,F5V,,,,,Isaacson et al.
HIP916,91.32,0.0,0.1892,58.350,K7,,,,,Isaacson et al.
HIP950,71.10,0.0,0.1956,-35.133,F3/F5V,,,,,Isaacson et al.
HIP974,83.82,0.0,0.2011,27.099,K0,,,,,Isaacson et al.
HIP1031,66.21,0.0,0.2140,-57.913,K0V,,,,,Isaacson et al.
HIP1086,114.15,0.0,0.2252,41.035,F0IV,,,,,Isaacson et al.
HIP1242,16.99,0.0,0.2578,-16.134,M:,,,,,Isaacson et al.
HIP1292,57.40,0.0,0.2702,-79.851,G6V,,,,,Isaacson et al.
HIP1349,75.02,0.0,0.2816,-52.651,G2V,,,,,Isaacson et al.
HIP1368,48.60,0.0,0.2851,40.948,M0,,,,,Isaacson et al.
HIP1444,85.13,0.0,0.2997,-13.456,G2V,,,,,Isaacson et al.
HIP1463,52.84,0.0,0.3046,10.203,M0,,,,,Isaacson et al.
HIP1473,140.90,0.0,0.3055,36.785,A2V,,,,,Isaacson et al.
