bibcode=2006AJ....132.2360H
---------------------------

Number of objects : 49

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |      spec. type       |#bib|#not
--|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|-----------------------|----|----
$$$       1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17f
$12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789
1 |BD-17 588A                         |PM*|03 01 51.3936681048 -16 35 36.031178525|13.444   |12.191   |10.529   |9.364    |7.887    |M3V                    |  99|   0
2 |NAME BD-17 588BC                   |** |03 01 51.076872 -16 35 31.06608        |     ~   |12.30    |10.59    |11.06    |     ~   |M2.5V                  |  65|   0
3 |LP 944-20                          |LM*|03 39 35.2523500210 -35 25 43.641996333|     ~   |     ~   |18.69    |16.39    |13.288   |M9.5Ve                 | 301|   0
4 |Wolf 227                           |SB*|03 52 41.7518444000 +17 01 04.169729361|     ~   |15.4     |     ~   |13.463   |     ~   |M5V                    |  77|   0
5 |2MASSI J0415195-093506             |BD*|04 15 19.54368 -09 35 06.6732          |     ~   |     ~   |     ~   |     ~   |     ~   |T8.0                   | 171|   0
6 |LP 656-38                          |PM*|05 01 57.4261317472 -06 56 46.376281497|     ~   |13.92    |12.196   |11.791   |9.175    |M4.0Ve                 | 177|   0
7 |G 99-49                            |PM*|06 00 03.5042217306 +02 42 23.592579736|     ~   |12.97    |11.31    |10.92    |8.43     |M3.5Ve                 | 158|   0
8 |2MASSI J0727182+171001             |BD*|07 27 18.24600 +17 10 01.2072          |     ~   |     ~   |     ~   |     ~   |     ~   |T7.0                   |  96|   0
9 |G 89-32                            |** |07 36 25.118208 +07 04 43.13928        |     ~   |14.99    |13.24    |12.78    |     ~   |M4.5V                  |  68|   0
10|L 674-15                           |PM*|08 12 40.8889728169 -21 33 06.982558553|     ~   |13.81    |12.13    |11.75    |9.24     |M3.5V                  | 122|   0
11|G 41-14                            |SB*|08 58 56.320800 +08 28 26.06808        |     ~   |12.62    |10.98    |10.56    |     ~   |M3.5V                  | 105|   0
12|L 499-56                           |PM*|22 02 29.3842983900 -37 04 51.304725337|     ~   |12.8     |     ~   |11.420   |     ~   |M3.5V                  |  66|   0
13|L 362-29                           |PM*|00 04 36.4375346731 -40 44 02.880162313|     ~   |14.47    |12.84    |12.525   |     ~   |M4V                    |  87|   0
14|LP 881-64                          |** |00 24 44.1774908692 -27 08 25.263232614|     ~   |17.18    |15.338   |13.502   |11.403   |M5.5/6Ve+M8.5Ve+M9/9.5V| 146|   0
15|G 159-3                            |PM*|01 51 04.1009130554 -06 07 04.996550751|     ~   |16.290   |14.49    |13.00    |11.16    |M4.5Ve                 |  55|   0
16|LP 647-13                          |LM*|01 09 51.2021035859 -03 43 26.390003589|     ~   |20.9     |19.266   |17.168   |14.708   |M9Ve                   |  50|   0
17|LSPM J0036+1821                    |BD*|00 36 16.1118891182 +18 21 10.286665966|     ~   |     ~   |     ~   |18.451   |16.053   |L3.5                   | 226|   0
18|NAME Teegarden's Star              |LM*|02 53 00.8917932409 +16 52 52.632190137|     ~   |17.21    |15.14    |13.03    |10.65    |dM6                    | 194|   0
19|LP 368-128                         |PM*|09 00 23.5461184051 +21 50 04.901331010|     ~   |17.3     |16.100   |14.09    |11.85    |M6.5Ve                 |  73|   0
20|2MASSI J0937347+293142             |BD*|09 37 34.87968 +29 31 40.9908          |     ~   |     ~   |     ~   |     ~   |     ~   |T6                     |  95|   1
21|G 42-24                            |PM*|09 53 55.1726816646 +20 56 46.793032097|     ~   |15.4     |     ~   |13.729   |     ~   |M4.0Ve                 |  63|   0
22|2MASSW J1047539+212423             |BD*|10 47 53.85456 +21 24 23.4684          |     ~   |     ~   |     ~   |     ~   |     ~   |T6.5                   |  95|   0
23|DENIS J104814.6-395606             |LM*|10 48 14.5736104113 -39 56 06.842743867|     ~   |     ~   |17.532   |15.051   |12.67    |M8.5Ve:                | 138|   0
24|L 471-42                           |PM*|12 38 49.0984129478 -38 22 53.670422368|     ~   |14.43    |12.74    |12.473   |     ~   |M4.5V                  |  70|   0
25|WT 392                             |PM*|13 13 09.3281149697 -41 30 39.740475153|     ~   |14.0     |     ~   |     ~   |     ~   |M5                     |  23|   0
26|V* AT Mic                          |Er*|20 41 51.15925 -32 26 06.8283          |12.753   |11.909   |10.343   |9.098    |7.383    |M4.5Ve+M4.5Ve          | 368|   0
27|HD 197481                          |BY*|20 45 09.5324974119 -31 20 27.237889841|     ~   |10.05    |8.627    |9.078    |6.593    |M1VeBa1                |1268|   0
28|CD-32 13298                        |PM*|17 46 14.4216961344 -32 06 08.389603188|13.825   |12.864   |11.411   |10.313   |8.876    |M2.5                   |  48|   0
29|HD 318327                          |PM*|17 46 12.7509035328 -32 06 09.138873996|13.066   |11.95    |10.485   |9.499    |8.331    |M1.5                   |  64|   0
30|2MASSW J1507476-162738             |BD*|15 07 47.6758255542 -16 27 40.113982846|     ~   |     ~   |22.136   |18.928   |16.579   |L5V                    | 209|   0
31|G 19-7                             |PM*|16 57 05.7362228328 -04 20 56.318033870|     ~   |13.92    |12.25    |10.99    |9.432    |dM4                    | 115|   0
32|TVLM 513-46                        |BD*|15 01 08.1864639648 +22 50 02.137869060|     ~   |21.4     |15.09    |18.0     |     ~   |M8.5V                  | 181|   0
33|LSR J1835+3259                     |PM*|18 35 37.8801226673 +32 59 53.316099140|     ~   |20.0     |     ~   |17.1     |     ~   |M8.5V                  | 144|   0
34|L 372-58                           |PM*|03 35 59.6991613260 -44 30 45.730830569|16.22    |14.98    |13.07    |11.45    |9.47     |M5.5V                  | 138|   0
35|L 230-188                          |PM*|04 10 28.1233952253 -53 36 08.138553608|     ~   |15.51    |13.58    |     ~   |     ~   |M4.5V                  |  55|   0
36|DENIS J025503.3-470049             |BD*|02 55 03.6927058871 -47 00 51.356903955|     ~   |     ~   |22.921   |19.906   |17.454   |L9                     | 160|   0
37|APMPM J0237-5928                   |PM*|02 36 32.4593648986 -59 28 05.542806742|     ~   |     ~   |     ~   |13.961   |     ~   |M4.5V                  |  37|   0
38|L 100-115                          |PM*|09 42 46.3429551119 -68 53 06.008938214|     ~   |14.51    |12.78    |11.35    |9.61     |M4.0V                  |  61|   0
39|SCR J0630-7643                     |** |06 30 46.63080 -76 43 08.9724          |     ~   |16.59    |14.82    |14.35    |11.04    |M6Ve                   |  24|   0
40|L 143-23                           |PM*|10 44 21.2329114167 -61 12 35.275360415|     ~   |15.74    |13.920   |12.33    |10.31    |M5.5V                  |  72|   0
41|L 35-12                            |PM*|09 17 05.3238123228 -77 49 23.383480825|     ~   |14.74    |13.10    |11.8     |10.1     |M4.5V                  |  60|   0
42|CD-68 47                           |** |01 10 22.8808981176 -67 26 41.948658967|12.515   |11.368   |9.824    |8.73     |7.353    |M2.5V                  |  95|   0
